number,title,depth,part,chapter,start_pdf_page,end_pdf_page_hierarchical,end_pdf_page_atomic,hierarchical_file,atomic_file,hierarchical_utf8_bytes,atomic_utf8_bytes
1,Introduction,1,1,1,22,87,24,part_01_foundations/chapter_01_introduction/hierarchical/01_introduction.md,part_01_foundations/chapter_01_introduction/atomic/01_introduction.md,135529,4310
1.1,Structure of a Typical Game Team,2,1,1,24,27,24,part_01_foundations/chapter_01_introduction/hierarchical/01.01_structure_of_a_typical_game_team.md,part_01_foundations/chapter_01_introduction/atomic/01.01_structure_of_a_typical_game_team.md,8705,667
1.1.1,Engineers,3,1,1,24,25,25,part_01_foundations/chapter_01_introduction/hierarchical/01.01.01_engineers.md,part_01_foundations/chapter_01_introduction/atomic/01.01.01_engineers.md,1890,1890
1.1.2,Artists,3,1,1,25,26,26,part_01_foundations/chapter_01_introduction/hierarchical/01.01.02_artists.md,part_01_foundations/chapter_01_introduction/atomic/01.01.02_artists.md,2657,2657
1.1.3,Game Designers,3,1,1,26,26,26,part_01_foundations/chapter_01_introduction/hierarchical/01.01.03_game_designers.md,part_01_foundations/chapter_01_introduction/atomic/01.01.03_game_designers.md,1672,1672
1.1.4,Producers,3,1,1,26,27,27,part_01_foundations/chapter_01_introduction/hierarchical/01.01.04_producers.md,part_01_foundations/chapter_01_introduction/atomic/01.01.04_producers.md,898,898
1.1.5,Other Staff,3,1,1,27,27,27,part_01_foundations/chapter_01_introduction/hierarchical/01.01.05_other_staff.md,part_01_foundations/chapter_01_introduction/atomic/01.01.05_other_staff.md,582,582
1.1.6,Publishers and Studios,3,1,1,27,27,27,part_01_foundations/chapter_01_introduction/hierarchical/01.01.06_publishers_and_studios.md,part_01_foundations/chapter_01_introduction/atomic/01.01.06_publishers_and_studios.md,1215,1215
1.2,What Is a Game?,2,1,1,27,30,28,part_01_foundations/chapter_01_introduction/hierarchical/01.02_what_is_a_game.md,part_01_foundations/chapter_01_introduction/atomic/01.02_what_is_a_game.md,7221,2076
1.2.1,Video Games as Soft Real-Time Simulations,3,1,1,28,30,30,part_01_foundations/chapter_01_introduction/hierarchical/01.02.01_video_games_as_soft_real_time_simulations.md,part_01_foundations/chapter_01_introduction/atomic/01.02.01_video_games_as_soft_real_time_simulations.md,5291,5291
1.3,What Is a Game Engine?,2,1,1,30,32,32,part_01_foundations/chapter_01_introduction/hierarchical/01.03_what_is_a_game_engine.md,part_01_foundations/chapter_01_introduction/atomic/01.03_what_is_a_game_engine.md,5837,5837
1.4,Engine Differences across Genres,2,1,1,32,50,33,part_01_foundations/chapter_01_introduction/hierarchical/01.04_engine_differences_across_genres.md,part_01_foundations/chapter_01_introduction/atomic/01.04_engine_differences_across_genres.md,31563,1663
1.4.1,First-Person Shooters (FPS),3,1,1,33,34,34,part_01_foundations/chapter_01_introduction/hierarchical/01.04.01_first_person_shooters_fps.md,part_01_foundations/chapter_01_introduction/atomic/01.04.01_first_person_shooters_fps.md,3200,3200
1.4.2,Platformers and Other Third-Person Games,3,1,1,34,36,36,part_01_foundations/chapter_01_introduction/hierarchical/01.04.02_platformers_and_other_third_person_games.md,part_01_foundations/chapter_01_introduction/atomic/01.04.02_platformers_and_other_third_person_games.md,3479,3479
1.4.3,Fighting Games,3,1,1,36,38,38,part_01_foundations/chapter_01_introduction/hierarchical/01.04.03_fighting_games.md,part_01_foundations/chapter_01_introduction/atomic/01.04.03_fighting_games.md,2319,2319
1.4.4,Racing Games,3,1,1,38,40,40,part_01_foundations/chapter_01_introduction/hierarchical/01.04.04_racing_games.md,part_01_foundations/chapter_01_introduction/atomic/01.04.04_racing_games.md,3449,3449
1.4.5,Strategy Games,3,1,1,40,42,42,part_01_foundations/chapter_01_introduction/hierarchical/01.04.05_strategy_games.md,part_01_foundations/chapter_01_introduction/atomic/01.04.05_strategy_games.md,2670,2670
1.4.6,Massively Multiplayer Online Games (MMOG),3,1,1,42,43,43,part_01_foundations/chapter_01_introduction/hierarchical/01.04.06_massively_multiplayer_online_games_mmog.md,part_01_foundations/chapter_01_introduction/atomic/01.04.06_massively_multiplayer_online_games_mmog.md,3414,3414
1.4.7,Player-Authored Content,3,1,1,44,45,45,part_01_foundations/chapter_01_introduction/hierarchical/01.04.07_player_authored_content.md,part_01_foundations/chapter_01_introduction/atomic/01.04.07_player_authored_content.md,2735,2735
1.4.8,"Virtual, Augmented and Mixed Reality",3,1,1,46,50,50,part_01_foundations/chapter_01_introduction/hierarchical/01.04.08_virtual_augmented_and_mixed_reality.md,part_01_foundations/chapter_01_introduction/atomic/01.04.08_virtual_augmented_and_mixed_reality.md,9078,9078
1.4.9,Other Genres,3,1,1,50,50,50,part_01_foundations/chapter_01_introduction/hierarchical/01.04.09_other_genres.md,part_01_foundations/chapter_01_introduction/atomic/01.04.09_other_genres.md,1348,1348
1.5,Game Engine Survey,2,1,1,50,56,50,part_01_foundations/chapter_01_introduction/hierarchical/01.05_game_engine_survey.md,part_01_foundations/chapter_01_introduction/atomic/01.05_game_engine_survey.md,15774,173
1.5.1,The Quake Family of Engines,3,1,1,50,51,51,part_01_foundations/chapter_01_introduction/hierarchical/01.05.01_the_quake_family_of_engines.md,part_01_foundations/chapter_01_introduction/atomic/01.05.01_the_quake_family_of_engines.md,2082,2082
1.5.2,Unreal Engine,3,1,1,51,52,52,part_01_foundations/chapter_01_introduction/hierarchical/01.05.02_unreal_engine.md,part_01_foundations/chapter_01_introduction/atomic/01.05.02_unreal_engine.md,2296,2296
1.5.3,The Half-Life Source Engine,3,1,1,52,52,52,part_01_foundations/chapter_01_introduction/hierarchical/01.05.03_the_half_life_source_engine.md,part_01_foundations/chapter_01_introduction/atomic/01.05.03_the_half_life_source_engine.md,491,491
1.5.4,DICE’s Frostbite,3,1,1,52,52,52,part_01_foundations/chapter_01_introduction/hierarchical/01.05.04_dices_frostbite.md,part_01_foundations/chapter_01_introduction/atomic/01.05.04_dices_frostbite.md,792,792
1.5.5,Rockstar Advanced Game Engine (RAGE),3,1,1,52,52,52,part_01_foundations/chapter_01_introduction/hierarchical/01.05.05_rockstar_advanced_game_engine_rage.md,part_01_foundations/chapter_01_introduction/atomic/01.05.05_rockstar_advanced_game_engine_rage.md,633,633
1.5.6,CRYENGINE,3,1,1,53,53,53,part_01_foundations/chapter_01_introduction/hierarchical/01.05.06_cryengine.md,part_01_foundations/chapter_01_introduction/atomic/01.05.06_cryengine.md,966,966
1.5.7,Sony’s PhyreEngine,3,1,1,53,53,53,part_01_foundations/chapter_01_introduction/hierarchical/01.05.07_sonys_phyreengine.md,part_01_foundations/chapter_01_introduction/atomic/01.05.07_sonys_phyreengine.md,1138,1138
1.5.8,Microsoft’s XNA Game Studio,3,1,1,53,53,53,part_01_foundations/chapter_01_introduction/hierarchical/01.05.08_microsofts_xna_game_studio.md,part_01_foundations/chapter_01_introduction/atomic/01.05.08_microsofts_xna_game_studio.md,827,827
1.5.9,Unity,3,1,1,54,54,54,part_01_foundations/chapter_01_introduction/hierarchical/01.05.09_unity.md,part_01_foundations/chapter_01_introduction/atomic/01.05.09_unity.md,1899,1899
1.5.10,Other Commercial Game Engines,3,1,1,54,54,54,part_01_foundations/chapter_01_introduction/hierarchical/01.05.10_other_commercial_game_engines.md,part_01_foundations/chapter_01_introduction/atomic/01.05.10_other_commercial_game_engines.md,704,704
1.5.11,Proprietary In-House Engines,3,1,1,54,55,55,part_01_foundations/chapter_01_introduction/hierarchical/01.05.11_proprietary_in_house_engines.md,part_01_foundations/chapter_01_introduction/atomic/01.05.11_proprietary_in_house_engines.md,1049,1049
1.5.12,Open Source Engines,3,1,1,55,56,56,part_01_foundations/chapter_01_introduction/hierarchical/01.05.12_open_source_engines.md,part_01_foundations/chapter_01_introduction/atomic/01.05.12_open_source_engines.md,2621,2621
1.5.13,2D Game Engines for Non-programmers,3,1,1,56,56,56,part_01_foundations/chapter_01_introduction/hierarchical/01.05.13_2d_game_engines_for_non_programmers.md,part_01_foundations/chapter_01_introduction/atomic/01.05.13_2d_game_engines_for_non_programmers.md,1939,1939
1.6,Runtime Engine Architecture,2,1,1,57,78,57,part_01_foundations/chapter_01_introduction/hierarchical/01.06_runtime_engine_architecture.md,part_01_foundations/chapter_01_introduction/atomic/01.06_runtime_engine_architecture.md,44588,1418
1.6.1,Target Hardware,3,1,1,57,57,57,part_01_foundations/chapter_01_introduction/hierarchical/01.06.01_target_hardware.md,part_01_foundations/chapter_01_introduction/atomic/01.06.01_target_hardware.md,966,966
1.6.2,Device Drivers,3,1,1,57,58,58,part_01_foundations/chapter_01_introduction/hierarchical/01.06.02_device_drivers.md,part_01_foundations/chapter_01_introduction/atomic/01.06.02_device_drivers.md,715,715
1.6.3,Operating System,3,1,1,59,59,59,part_01_foundations/chapter_01_introduction/hierarchical/01.06.03_operating_system.md,part_01_foundations/chapter_01_introduction/atomic/01.06.03_operating_system.md,1714,1714
1.6.4,Third-Party SDKs and Middleware,3,1,1,59,62,62,part_01_foundations/chapter_01_introduction/hierarchical/01.06.04_third_party_sdks_and_middleware.md,part_01_foundations/chapter_01_introduction/atomic/01.06.04_third_party_sdks_and_middleware.md,6622,6622
1.6.5,Platform Independence Layer,3,1,1,62,63,63,part_01_foundations/chapter_01_introduction/hierarchical/01.06.05_platform_independence_layer.md,part_01_foundations/chapter_01_introduction/atomic/01.06.05_platform_independence_layer.md,2049,2049
1.6.6,Core Systems,3,1,1,63,64,64,part_01_foundations/chapter_01_introduction/hierarchical/01.06.06_core_systems.md,part_01_foundations/chapter_01_introduction/atomic/01.06.06_core_systems.md,2259,2259
